District,Health Sub District,Health Facility Name
Ibanda,Ibanda N. (Ishongororo),Bihanga
Ibanda,Ibanda N. (Ishongororo),Bisheshe
Ibanda,Ibanda N. (Ishongororo),Bugarama
Ibanda,Ibanda N. (Ishongororo),Ishongororo
Ibanda,Ibanda N. (Ishongororo),Kabaare
Ibanda,Ibanda N. (Ishongororo),Kakinga
Ibanda,Ibanda South,Kanywambogo
Ibanda,Ibanda N. (Ishongororo),Karangara
Ibanda,Ibanda N. (Ishongororo),Kashozi
Ibanda,Ibanda N. (Ishongororo),Kyeikucu
Ibanda,Ibanda N. (Ishongororo),Nyakatookye
Ibanda,Ibanda N. (Ishongororo),Nyamarebe
Ibanda,Ibanda N. (Ishongororo),Rushango
Ibanda,Ibanda N. (Ishongororo),Rwenkobwa
Ibanda,Ibanda N. (Ishongororo),Birongo
Ibanda,Ibanda N. (Ishongororo),Kakatsi
Ibanda,Ibanda N. (Ishongororo),Kashangura
Ibanda,Ibanda N. (Ishongororo),Kiburara
Ibanda,Ibanda N. (Ishongororo),Kijongo
Ibanda,Ibanda South,Bufunda
Ibanda,Ibanda South,Bwahwa
Ibanda,Ibanda South,Ibanda Hospital
Ibanda,Ibanda South,Ibanda Mission
Ibanda,Ibanda South,Irimya
Ibanda,Ibanda South,Kicuzi
Ibanda,Ibanda South,Kigunga
Ibanda,Ibanda South,Kihani
Ibanda,Ibanda South,Kikyenkye
Ibanda,Ibanda South,Mabonwa
Ibanda,Ibanda South,Mpasha
Ibanda,Ibanda South,Nsasi
Ibanda,Ibanda South,Nyamirima
Ibanda,Ibanda South,Nyarukiika
Ibanda,Ibanda South,Rubaya
Ibanda,Ibanda South,Rugaaga
Ibanda,Ibanda South,Ruhoko
Ibanda,Ibanda South,Rukiri
Ibanda,Ibanda South,Rwengwe
Ibanda,Ibanda South,Rwobuzizi
Isingiro,Bukanga (Rugaaga),Birunduma
Isingiro,Bukanga (Rugaaga),Buhungiro
Isingiro,Bukanga (Rugaaga),Busheka
Isingiro,Bukanga (Rugaaga),Endiinzi
Isingiro,Bukanga (Rugaaga),Juru
Isingiro,Bukanga (Rugaaga),Kibengo
Isingiro,Bukanga (Rugaaga),Ngarama
Isingiro,Bukanga (Rugaaga),Nshororo
Isingiro,Bukanga (Rugaaga),Rubondo
Isingiro,Bukanga (Rugaaga),Rushasha
Isingiro,Bukanga (Rugaaga),Rwantaaha
Isingiro,Bukanga (Rugaaga),Burungamo
Isingiro,Bukanga (Rugaaga),Kakamba
Isingiro,Bukanga (Rugaaga),Kashumba
Isingiro,Bukanga (Rugaaga),Kyabahesi
Isingiro,Bukanga (Rugaaga),Mbaare
Isingiro,Bukanga (Rugaaga),Murema
Isingiro,Bukanga (Rugaaga),Nakivale
Isingiro,Bukanga (Rugaaga),Nyamarungi
Isingiro,Bukanga (Rugaaga),Rugaaga
Isingiro,Isingiro N. (Nyamuyanja),Isibuka Nursing Home
Isingiro,Isingiro N. (Nyamuyanja),Kahenda
Isingiro,Isingiro N. (Nyamuyanja),Kakoma
Isingiro,Isingiro N. (Nyamuyanja),Kamuri
Isingiro,Isingiro N. (Nyamuyanja),Kasana
Isingiro,Isingiro N. (Nyamuyanja),Katanoga
Isingiro,Isingiro N. (Nyamuyanja),Katembe
Isingiro,Isingiro N. (Nyamuyanja),Kikokwa
Isingiro,Isingiro N. (Nyamuyanja),Kyabinunga
Isingiro,Isingiro N. (Nyamuyanja),Kyabirukwa
Isingiro,Isingiro N. (Nyamuyanja),Kyarugaju
Isingiro,Isingiro N. (Nyamuyanja),Kyeirumba
Isingiro,Isingiro N. (Nyamuyanja),Mabona
Isingiro,Isingiro N. (Nyamuyanja),Nyamitsindo
Isingiro,Isingiro N. (Nyamuyanja),Nyamuyanja
Isingiro,Isingiro N. (Nyamuyanja),Nyarubungo
Isingiro,Isingiro N. (Nyamuyanja),Ruhiira
Isingiro,Isingiro N. (Nyamuyanja),Rwekubo
Isingiro,Isingiro N. (Nyamuyanja),Rwetango
Isingiro,Isingiro South (Kabuyanda),Kikagate
Isingiro,Isingiro South (Kabuyanda),Kaarokarungi
Isingiro,Isingiro South (Kabuyanda),Kabugu
Isingiro,Isingiro South (Kabuyanda),Kabuyanda Catholic
Isingiro,Isingiro South (Kabuyanda),Kabuyanda Moh
Isingiro,Isingiro South (Kabuyanda),Kamubeizi
Isingiro,Isingiro South (Kabuyanda),Kanywamaizi
Isingiro,Isingiro South (Kabuyanda),Karama
Isingiro,Bukanga (Rugaaga),Kigaragara
Isingiro,Isingiro South (Kabuyanda),Kihiihi
Isingiro,Isingiro South (Kabuyanda),Kyamusoni
Isingiro,Isingiro South (Kabuyanda),Kyezimbire
Isingiro,Isingiro South (Kabuyanda),Migyera
Isingiro,Isingiro South (Kabuyanda),Nshungyezi
Isingiro,Isingiro South (Kabuyanda),Nyakitunda
Isingiro,Isingiro South (Kabuyanda),Ruborogota
Isingiro,Isingiro South (Kabuyanda),Ruyanga
Isingiro,Isingiro South (Kabuyanda),Rwakakwenda
Isingiro,Isingiro South (Kabuyanda),Rwamijuka
Isingiro,Isingiro South (Kabuyanda),St Luke Kisoyiro
Kamwenge,Kibale (Rukunyu),Bigodi
Kamwenge,Kibale (Rukunyu),Biguli
Kamwenge,Kibale (Rukunyu),Bihanga
Kamwenge,Kibale (Rukunyu),Bunoga
Kamwenge,Kibale (Rukunyu),Bisiriba
Kamwenge,Kibale (Rukunyu),Bwiizi
