Key,English
start,Start
ok,OK
spo2_sensor_warning,Check if SpO2 sensor is plugged in properly. Then press Retry.
press_start,Status OK. Press Start.
currently_measuring,Currently measuring...
no_sensor,No sensor: Check connection
sensor_off,Sensor off patient
high_hrvar,High HR variance
high_spo2var,High SpO2 variance
artifacts,Artifacts: Adjust SpO2 sensor.
retry,Retry
finished_measuring,Recorded at
finished_measuring_at,at
message_next,. Press Next.
spo2_wait,Wait for a green screen (better quality signal)
