childid,studyid_para
childid2,studyidcheck_para
site,site_para,Mbarara Regional Referral Hospital,Holy Innocents Children's Hospital,Jinja Regional Referral Hospital,Masaka Regional Referral Hospital
date,date_para
sex,sex_para
yob,yob_para
mob,mob_para,January,February,March,April,May,June,July,August,September,October,November,December
age,agecalc_yrs_tab_para
lasthosp,priorhosp_para,Less than 7 DAYS ago,7 to 30 DAYS ago,30 DAYS to 1 YEAR ago,more than 1 YEAR ago,Never
weight,weight_kg_para
muac,muac_mm_para
zscore,waz_zscore_para
spo2med,spo2_pc_oxi_para
hrmed,hr_bpm_oxi_para
sqi,sqi_perc_oxi_para
sptime,spo2time_oxi_para
spo2manual,spo2other_para
eye,bcseye_para,Fails to watch or follow,Watches or follows
motor,bcsmotor_para,No response or inappropriate response,Withdraws limb from painful stimulus,Localizes painful stimulus
verbal,bcsverbal_para,No vocal response to pain,Moan or abnormal cry with pain,Cries appropriately with pain (or speaks if verbal)
hiv,hiv_para,Positive,Negative,Unknown
dischargescore,pdscore_para
