Month,L,M,S
0,-0.3053,13.4069,0.0956
1,0.2708,14.9441,0.09027
2,0.1118,16.3195,0.08677
3,0.0068,16.8987,0.08495
4,-0.0727,17.1579,0.08378
5,-0.137,17.2919,0.08296
6,-0.1913,17.3422,0.08234
7,-0.2385,17.3288,0.08183
8,-0.2802,17.2647,0.0814
9,-0.3176,17.1662,0.08102
10,-0.3516,17.0488,0.08068
11,-0.3828,16.9239,0.08037
12,-0.4115,16.7981,0.08009
13,-0.4382,16.6743,0.07982
14,-0.463,16.5548,0.07958
15,-0.4863,16.4409,0.07935
16,-0.5082,16.3335,0.07913
17,-0.5289,16.2329,0.07892
18,-0.5484,16.1392,0.07873
19,-0.5669,16.0528,0.07854
20,-0.5846,15.9743,0.07836
21,-0.6014,15.9039,0.07818
22,-0.6174,15.8412,0.07802
23,-0.6328,15.7852,0.07786
24,-0.6473,15.7356,0.07771
