District,Sub-County,Parish
Buhweju,Bihanga,Rukiri
Buhweju,Bitsya,Bitsya
Buhweju,Burere,Nyakashaka
Buhweju,Nyakishana,Rwanyamabare
Buhweju,Rwengwe,Bwoga
Buhweju,Rwengwe,Kashenyi
Buhweju,Rwengwe,Kyeyare
Buhweju,Bihanga,Kalembe
Buhweju,Bihanga,Kashanshara
Buhweju,Burere,Nyakahita
Buhweju,Burere,Rwajere
Buhweju,Engaju,Engaju
Buhweju,Engaju,Kajumbura
Buhweju,Engaju,Katongo
Buhweju,Engaju,Kiyanja
Buhweju,Engaju,Kyahenda
Buhweju,Karungu,Karungu Central
Buhweju,Karungu,Katara
Buhweju,Karungu,Kasharara
Buhweju,Karungu,Rugongo
Buhweju,Bitsya,Kankara
Buhweju,Bitsya,Mushasha
Buhweju,Rwengwe,Kibimba
Buhweju,Nsiika T/C,Nsiika Ward
Buhweju,Rwengwe,Nyakishojwa
Buhweju,Nsiika T/C,Kicuzi Ward
Buhweju,Nsiika T/C,Kyajura Ward
Buhweju,Burere,Nyakitoko
Buhweju,Burere,Rubengye
Buhweju,Burere,Rushambya
Buhweju,Nyakishana,Kabegaramire
Buhweju,Nyakishana,Katinda
Buhweju,Nyakishana,Kiramira
Buhweju,Nyakishana,Rukondo
Buhweju,Nyakishana,Rushayo
Buhweju,Nyakishana,Ryanyamabare
Bushenyi,Bitooma,Bitooma
Bushenyi,Bitooma,Kakira
Bushenyi,Bitooma,Kakoni
Bushenyi,Bitooma,Kibazi
Bushenyi,Bitooma,Kimuri
Bushenyi,Bitooma,Kyamuhunga
Bushenyi,Bitooma,Ngorora
Bushenyi,Bumbaire,Bumbaire
Bushenyi,Bumbaire,Kahungye
Bushenyi,Bumbaire,Kibaare
Bushenyi,Bumbaire,Kiyaga
Bushenyi,Bumbaire,Numba
Bushenyi,Bumbaire,Nyabubaare
Bushenyi,Bumbaire,Nyarugote
Bushenyi,Central Div,Bunyarigi Ward
Bushenyi,Central Div,Ruharo Ward
Bushenyi,Central Div,Ryamabengwa  Ward
Bushenyi,Ishaka Div,Ward 3
Bushenyi,Ishaka Div,Ward 4
Bushenyi,Nyakabirizi Div,Ward 1
Bushenyi,Central Div,Ward 2
Bushenyi,Ishaka Div,Buramba Ward
Bushenyi,Nyakabirizi Div,Ibaare Ward
Bushenyi,Ibaare,Kainamo
Bushenyi,Ibaare,Kyamugabo
Bushenyi,Central Div,Kyeitembe Ward
Bushenyi,Ibaare,Ryeishe
Bushenyi,Ishaka Div,Kashenyi Ward
Bushenyi,Ishaka Div,Town Ward
Bushenyi,Kakanju,Kabare
Bushenyi,Kakanju,Kakanju
Bushenyi,Kakanju,Katunga
Bushenyi,Kakanju,Katungu
