District,Health Sub District,Health Facility Name
Buikwe,Buikwe North,Bugungu
Buikwe,Buikwe North,Bugungu Yo
Buikwe,Buikwe North,Bugungu Yp
Buikwe,Buikwe North,Bukaya
Buikwe,Buikwe North,Buwagajjo
Buikwe,Buikwe North,Buziika
Buikwe,Buikwe North,Canan
Buikwe,Buikwe North,Christ The King
Buikwe,Buikwe North,Kabizi
Buikwe,Buikwe North,Kabizi- Bugoba
Buikwe,Buikwe North,Kalagala
Buikwe,Buikwe North,Konko
Buikwe,Buikwe North,Lugazi II
Buikwe,Buikwe North,Naminya
Buikwe,Buikwe North,Nile Breweries
Buikwe,Buikwe North,Nyenga
Buikwe,Buikwe North,St. Francis
Buikwe,Buikwe North,Tongolo
Buikwe,Buikwe North,Wakisi
Buikwe,Buikwe South,Bubiro
Buikwe,Buikwe South,Buikwe
Buikwe,Buikwe South,St. Charles Lwanga Buikwe
Buikwe,Buikwe South,Ddungi
Buikwe,Buikwe South,Ebenezer
Buikwe,Buikwe South,Kasubi
Buikwe,Buikwe South,Kavule
Buikwe,Buikwe South,Kikwayi
Buikwe,Buikwe South,Kingdom Life
Buikwe,Buikwe South,Kisimba Muslim
Buikwe,Buikwe South,Makindu
Buikwe,Buikwe South,Makonge
Buikwe,Buikwe South,Namulesa
Buikwe,Buikwe South,Ngogwe
Buikwe,Buikwe South,Ssenyi
Buikwe,Buikwe South,Ssi
Buikwe,Buikwe West,Busabaga
Buikwe,Buikwe West,Buwundo
Buikwe,Buikwe West,Eng Bd Lugazi
Buikwe,Buikwe West,Kasaku
Buikwe,Buikwe West,Kawolo
Buikwe,Buikwe West,Kizigo
Buikwe,Buikwe West,Lugazi Mission
Buikwe,Buikwe West,Lugazi Muslim
Buikwe,Buikwe West,Lugazi Police
Buikwe,Buikwe West,Lugazi Scoul
Buikwe,Buikwe West,Najjembe
Buikwe,Buikwe South,Nkokonjeru
Buikwe,Buikwe South,Nkokonjeru
Buikwe,Buikwe South,Al-Hijrah
Buikwe,Buikwe North,Bugolo
Buikwe,Buikwe West,Mehta
Buikwe,Buikwe West,Living Water Medical Centre
Buvuma,Buvuma,Bugaya
Buvuma,Buvuma,Busamuzi
Buvuma,Buvuma,Buvuma
Buvuma,Buvuma,Buwooya
Buvuma,Buvuma,Bweema
Buvuma,Buvuma,Lingira
Buvuma,Buvuma,Lubya
Buvuma,Buvuma,Lwajje
Buvuma,Buvuma,Namatale
Buvuma,Buvuma,Namiti
Buvuma,Buvuma,Nkata
Kayunga,Bbaale,Bbaale
Kayunga,Bbaale,Bulawula
Kayunga,Bbaale,Kakika
Kayunga,Bbaale,Kasokwe
Kayunga,Bbaale,Kawongo
Kayunga,Bbaale,Lugasa
Kayunga,Bbaale,Nakyesa
Kayunga,Bbaale,Nkokonjeru
Kayunga,Bbaale,Wabwoko
Kayunga,Ntenjeru North,Busaale
Kayunga,Ntenjeru North,Busana
Kayunga,Ntenjeru North,Buyobe
Kayunga,Ntenjeru North,Kayunga Hospital
Kayunga,Ntenjeru North,Nakatovu
Kayunga,Ntenjeru North,Namagabi
Kayunga,Ntenjeru North,Namusala
Kayunga,Ntenjeru North,Ntenjeru
Kayunga,Ntenjeru South,Bukamba
