District,Health Sub District,Health Facility Name
Bukomansimbi,Bukomansimbi,Butenga
Bukomansimbi,Bukomansimbi,Kitanda
Bukomansimbi,Bukomansimbi,Mirambi
Gomba,Gomba,Kasambya
Kalungu,Kalungu East,Bukulula
Kalungu,Kalungu West,Kabaale
Lyantonde,Kabula,Buyaga
Lyantonde,Kabula,Buyanja
Lyantonde,Kabula,Kabatema
Lyantonde,Kabula,Kabayanda
Lyantonde,Kabula,Kabetemere
Lyantonde,Kabula,Kaliiro
Lyantonde,Kabula,Kasagama
Lyantonde,Kabula,Katovu
Lyantonde,Kabula,Kemunyu
Lyantonde,Kabula,Kijjukizo (St. Elizabeth)
Lyantonde,Kabula,Kinuuka
Lyantonde,Kabula,Kiyinda
Lyantonde,Kabula,Kyakuterekera
Lyantonde,Kabula,Kyemamba
Lyantonde,Kabula,Kyenshama
Lyantonde,Kabula,Lyakajjula
Lyantonde,Kabula,Lyantonde Hospital
Lyantonde,Kabula,Lyantonde Moslem
Lyantonde,Kabula,Mpumudde
Lyantonde,Kabula,Namutamba
Masaka,Bukoto Central,Bukoto
Masaka,Bukoto Central,Kamulegu
Masaka,Bukoto Central,Kitunga
Masaka,Bukoto Central,Kyamuyimbwa
Masaka,Bukoto Central,Kyanamukaka
Masaka,Bukoto Central,Zzimwe
Masaka,Bukoto East,Bugabira
Masaka,Bukoto East,Bukakata
Masaka,Bukoto East,Bukeeri
Masaka,Bukoto East,Butende
Masaka,Bukoto East,Buwunga
Masaka,Bukoto East,Kamwoozi
Masaka,Bukoto East,Kiyumba
Masaka,Bukoto East,Lambu
Masaka,Bukoto East,Makonzi
Masaka,Bukoto East,Mazinga
Masaka,Bukoto East,Mpugwe
Masaka,Bukoto East,Nakasojjo
Masaka,Bukoto East,Ssunga
Masaka,Masaka Municipality,Army Barracks
Masaka,Masaka Municipality,Kirumba
Masaka,Masaka Municipality,Kitabaazi
Masaka,Masaka Municipality,Kitovu Hospital
Masaka,Masaka Municipality,Kyabakuza
Masaka,Masaka Municipality,Masaka
Masaka,Masaka Municipality,Masaka Municipality
Masaka,Masaka Municipality,Nyendo
Masaka,Masaka Municipality,Police Barracks
Masaka,Masaka Municipality,Prisons Barracks
Mpigi,Mawokota North,Bujjuko
Mpigi,Mawokota North,Butolo
Mpigi,Mawokota North,Ddhs Clinic
Mpigi,Mawokota North,Epi Centre Kirengete
Mpigi,Mawokota North,Kafumu
Mpigi,Mawokota North,Kampiringisa
Mpigi,Mawokota North,Kibanga
Mpigi,Mawokota North,Kibumbiro
Mpigi,Mawokota South,Kituntu
Mpigi,Mawokota North,Kyali
Mpigi,Mawokota North,Mpigi
Mpigi,Mawokota North,Muduuma
Mpigi,Mawokota South,Nkozi
Mpigi,Mawokota North,Nswanjjere
Mpigi,Mawokota North,Sekiwunga
Mpigi,Mawokota North,St Luke Konge
Mpigi,Mawokota North,St Monica Katende
Mpigi,Mawokota North,St Yakobo - Ggoli
Mpigi,Mawokota South,Bukasa
Mpigi,Mawokota South,Bunjako
Mpigi,Mawokota South,Buwama
Mpigi,Mawokota South,Ggolo
Mpigi,Mawokota South,Nabyewanga
Mpigi,Mawokota South,Nindye
Mpigi,Mawokota South,St Anthony Mitala Maria
Sembabule,Lwemiyaga,Kampala
Sembabule,Lwemiyaga,Keizooba
Sembabule,Lwemiyaga,Kyera
Sembabule,Lwemiyaga,Lwemiyaga
Sembabule,Lwemiyaga,Makoole
Sembabule,Lwemiyaga,Ntusi
Sembabule,Lwemiyaga,St Elizabeth Ntuusi
Sembabule,Mawogola,Busheka
Sembabule,Mawogola,Kabundi
Sembabule,Mawogola,Kagango
Sembabule,Mawogola,Kasalu
Sembabule,Mawogola,Katimba
Sembabule,Mawogola,Kayunga
Sembabule,Mawogola,Kyabi
Sembabule,Mawogola,Lugusulu
Sembabule,Mawogola,Lwebitakuli
Sembabule,Mawogola,Lwebitakuli
Sembabule,Mawogola,Mateete
Sembabule,Mawogola,Miteete
Sembabule,Mawogola,Ntete
Sembabule,Mawogola,Sembabule
Bukomansimbi,Bukomansimbi,Bigasa
Bukomansimbi,Bukomansimbi,Buyoga
Bukomansimbi,Bukomansimbi,Kabigi
Bukomansimbi,Bukomansimbi,Kagoggo
Bukomansimbi,Bukomansimbi,Kawoko
Bukomansimbi,Bukomansimbi,Kigangazzi
Bukomansimbi,Bukomansimbi,Kisojjo
Bukomansimbi,Bukomansimbi,Kitaasa
Bukomansimbi,Bukomansimbi,Luyitayita
Bukomansimbi,Bukomansimbi,Makukuulu
Bukomansimbi,Bukomansimbi,St. Marys Maternity Home
Butambala,Butambala,Bugobango
Butambala,Butambala,Bulo
Butambala,Butambala,Butaaka
Butambala,Butambala,Epi-Centre Senge
Butambala,Butambala,Gombe
Butambala,Butambala,Kabasanda
Butambala,Butambala,Kalamba
Butambala,Butambala,Kibibi Nursing Home
Butambala,Butambala,Kibuga
Butambala,Butambala,Kidawalime
Butambala,Butambala,Kilokola
Butambala,Butambala,Kitimba
Butambala,Butambala,Kiziiko
Butambala,Butambala,Kyabadaza
Butambala,Butambala,Maria Assumpta
Butambala,Butambala,Ngando
Butambala,Butambala,Nsozibirye
Butambala,Butambala,Ntolomwe
Gomba,Gomba,Bukalagi
Gomba,Gomba,Bulwadda
Gomba,Gomba,Kanoni
Gomba,Gomba,Kanzira
Gomba,Gomba,Kewerimidde
Gomba,Gomba,Kifampa
Gomba,Gomba,Kisozi
Gomba,Gomba,Kitwe
Gomba,Gomba,Kyayi
Gomba,Gomba,Maddu
Gomba,Gomba,Mamba
Gomba,Gomba,Mawuki
Gomba,Gomba,Mpenja
Gomba,Gomba,Namabeya
Gomba,Gomba,Ngeribalya
Gomba,Gomba,Ngomanene
Gomba,Gomba,Rapha
Kalungu,Kalungu East,Birongo Pnfp
Kalungu,Kalungu East,Kamutuuza(Well Spring)
Kalungu,Kalungu East,Kigaju
Kalungu,Kalungu East,Kiragga
Kalungu,Kalungu East,Kiti
Kalungu,Kalungu East,Lukaya
Kalungu,Kalungu West,Bbaala
Kalungu,Kalungu West,Bwanda
Kalungu,Kalungu West,Kabungo Pnfp
Kalungu,Kalungu West,Kigasa
Kalungu,Kalungu West,Kyamulibwa
Kalungu,Kalungu West,Nabutongwa
Kalungu,Kalungu West,Villa Maria
Lwengo,Bukoto Mid West,Kyetume
Lwengo,Bukoto Mid West,Lwengo
Lwengo,Bukoto Mid West,Makondo
Lwengo,Bukoto Mid West,Mbirizi Muslim
Lwengo,Bukoto Mid West,Mbirizi St. Francis
Lwengo,Bukoto Mid West,Nanywa
Lwengo,Bukoto Mid West,St. Aloysius Ngobya
Lwengo,Bukoto South,Asiiika Obulamu
Lwengo,Bukoto Mid West,Kagganda
Lwengo,Bukoto South,Kasaana
Lwengo,Bukoto South,Kikenene
Lwengo,Bukoto South,Kimwanyi
Lwengo,Bukoto South,Kinoni
Lwengo,Bukoto South,Kisansala
Lwengo,Bukoto South,Kiwangala
Lwengo,Bukoto South,Kyamaganda
Lwengo,Bukoto South,Nakateete
Lwengo,Bukoto South,Ngeye
Lwengo,Bukoto South,Nkoni
Lwengo,Bukoto South,Ssenya
Lwengo,Bukoto South,St. Jude Kaswa
Lwengo,Bukoto West,Bukoto Pentecostal
Lwengo,Bukoto West,Kakoma
Lwengo,Bukoto West,Kalegero
Lwengo,Bukoto West,Katovu Cou
Lwengo,Bukoto West,Kitooro Luyembe
Lwengo,Bukoto West,Lwengenyi
Lwengo,Bukoto West,Munathamat
Lwengo,Bukoto West,Kyazanga
Rakai,Kooki,Bbale-Ggunda
Rakai,Kooki,Kibanda
Rakai,Kooki,Kifamba
Rakai,Kooki,Magabi
Rakai,Buyamba,Bugona
Rakai,Kooki,Butiti
Rakai,Buyamba,Buyamba Disp and Mu
Rakai,Kooki,Byakabanda
Rakai,Kooki,Heal The Nation
Rakai,Buyamba,Kabusota
Rakai,Buyamba,Kacheera
Rakai,Buyamba,Kagamba
Rakai,Buyamba,Kakundi
Rakai,Buyamba,Kaleere
Rakai,Buyamba,Kasankala
Rakai,Buyamba,Kasankala Ngo
Rakai,Buyamba,Katatenga
Rakai,Buyamba,Kayanja Prisons
Rakai,Kooki,Kayayumbe
Rakai,Kooki,Kayonza Ddwaniro
Rakai,Kooki,Kayonza Kacheera
Rakai,Kooki,Kibaale
Rakai,Kooki,Kibaale Comm. Home
Rakai,Buyamba,Kibuuka
Rakai,Buyamba,Kimuli
Rakai,Kooki,Kiziba
Rakai,Buyamba,Kyabigondo
Rakai,Kooki,Kyalulangira
Rakai,Kooki,Kyempewo
Rakai,Kooki,Lukerere
Rakai,Buyamba,Lwabakooba
Rakai,Buyamba,Lwakalolo
Rakai,Buyamba,Lwamagwa
Rakai,Kooki,Lwamagwa Ngo
Rakai,Kooki,Lwanda
Rakai,Kooki,Lwembajjo
Rakai,Kooki,Lwensinga
Rakai,Kooki,Mbuye
Rakai,Kooki,Michungiro
Rakai,Kooki,Rakai
Kalungu,Kalungu West,Kalungi
Rakai,Buyamba,Buyamba
Butambala,Butambala,Butende
Masaka,Bukoto Central,Buyaga
Gomba,Gomba,Buyanja
Lwengo,Bukoto West,Katovu
Sembabule,Mawogola,Kibengo
Kalungu,Kalungu East,Kasambya
Sembabule,Mawogola,Kabale
Kalangala,Bujumba,Bumangi
Kalangala,Bujumba,Bwendero
Kalangala,Bujumba,Kalangala
Kalangala,Bujumba,Kasekulo
Kalangala,Bujumba,Mugoye
Kalangala,Bujumba,Mulabana
Kalangala,Bujumba,Siaap
Kalangala,Kyamuswa,Bubeke
Kalangala,Kyamuswa,Bufumira
Kalangala,Kyamuswa,Bukasa
Kalangala,Kyamuswa,Jaana
Kalangala,Kyamuswa,Kachanga Island
Kalangala,Kyamuswa,Lujjabwa Island
Kalangala,Kyamuswa,Lulamba
Kalangala,Kyamuswa,Mazinga
Wakiso,Busiro East,Banda
Wakiso,Busiro East,Bbira
Wakiso,Busiro East,Bulondo
Wakiso,Busiro East,Crane Services
Wakiso,Busiro East,Kasenge
Wakiso,Busiro East,Kyengera
Wakiso,Busiro East,Mende
Wakiso,Busiro East,Muvubuka Agunjuse
Wakiso,Busiro East,Muzinda Katereke
Wakiso,Busiro East,Nabbingo
Wakiso,Busiro East,Nakitokolo Nsangi
Wakiso,Busiro East,Nsangi
Wakiso,Busiro East,Wakiso
Wakiso,Busiro East,Wakiso Epi Centre
Wakiso,Busiro North,Busawamanze
Wakiso,Busiro North,Kakiri
Wakiso,Busiro North,Kambugu
Wakiso,Busiro North,Kanzize Kyondo
Wakiso,Busiro North,Kasozo
Wakiso,Busiro North,Kibujjo
Wakiso,Busiro North,Kiziba
Wakiso,Busiro North,Kiziba St. Ulrika
Wakiso,Busiro North,Kyengeza
Wakiso,Busiro North,Lubbe
Wakiso,Busiro North,Lugungudde
Wakiso,Busiro North,Luwunga Barracks
Wakiso,Busiro North,Magoggo
Wakiso,Busiro North,Naddangira
Wakiso,Busiro North,Nakitokolo
Wakiso,Busiro North,Namayumba
Wakiso,Busiro North,Namayumba Epi Centre
Wakiso,Busiro North,Nampunge
Wakiso,Busiro North,Sentema
Wakiso,Busiro South,Buyege
Wakiso,Busiro South,Kajjansi
Wakiso,Busiro South,Kajjansi Clays
Wakiso,Busiro South,Kasanje
Wakiso,Busiro South,Kisubi
Wakiso,Busiro South,Kitala
Wakiso,Busiro South,Nakawuka
Wakiso,Busiro South,Nalugala
Wakiso,Busiro South,Nsaggu
Wakiso,Busiro South,St. Luke Nkumba
Wakiso,Busiro South,Zzinga
Wakiso,Entebbe Municipality,Entebbe
Wakiso,Entebbe Municipality,Entebbe Uvri
Wakiso,Entebbe Municipality,Katabi
Wakiso,Entebbe Municipality,Kigungu
Wakiso,Entebbe Municipality,State House
Wakiso,Kyadondo East,Bweyogerere
Wakiso,Kyadondo East,Bweyogerere Sda
Wakiso,Kyadondo East,Jjanda
Wakiso,Kyadondo East,Kabubbu
Wakiso,Kyadondo East,Kasangati
Wakiso,Kyadondo East,Kimwanyi
Wakiso,Kyadondo East,Kira
Wakiso,Kyadondo East,Kireka
Wakiso,Kyadondo East,Kireka Sda
Wakiso,Kyadondo East,Kirinya
Wakiso,Kyadondo East,Mirembe Sda
Wakiso,Kyadondo East,Namalere
Wakiso,Kyadondo East,Watuba
Wakiso,Kyadondo East,Well Spring
Wakiso,Kyadondo North,Buwambo
Wakiso,Kyadondo North,Community Health Plan
Wakiso,Kyadondo North,Gombe
Wakiso,Kyadondo North,Jinja Karoli
Wakiso,Kyadondo North,Kasozi
Wakiso,Kyadondo North,Kawanda
Wakiso,Kyadondo North,Maganjo
Wakiso,Kyadondo North,Matugga
Wakiso,Kyadondo North,Migadde
Wakiso,Kyadondo North,Nabutiti
