District,Health Sub District,Health Facility Name
Ibanda,Ibanda N. (Ishongororo),Bisheshe
Buhweju,Ibanda N. (Ishongororo),Bugarama
Buhweju,Ibanda N. (Ishongororo),Ishongororo
Buhweju,Ibanda N. (Ishongororo),Kabaare
Buhweju,Ibanda N. (Ishongororo),Kakinga
Buhweju,Ibanda South,Kanywambogo
Buhweju,Ibanda N. (Ishongororo),Karangara
Buhweju,Ibanda N. (Ishongororo),Kashozi
Buhweju,Ibanda N. (Ishongororo),Kyeikucu
Buhweju,Ibanda N. (Ishongororo),Nyakatookye
Buhweju,Ibanda N. (Ishongororo),Nyamarebe
Buhweju,Ibanda N. (Ishongororo),Rushango
Buhweju,Ibanda N. (Ishongororo),Rwenkobwa
Buhweju,Ibanda N. (Ishongororo),Birongo
Buhweju,Ibanda N. (Ishongororo),Kakatsi
Buhweju,Ibanda N. (Ishongororo),Kashangura
Buhweju,Ibanda N. (Ishongororo),Kiburara
Buhweju,Ibanda N. (Ishongororo),Kijongo
Buhweju,Ibanda South,Bufunda
Bushenyi,Ibanda South,Bwahwa
Bushenyi,Ibanda South,Ibanda Hospital
Bushenyi,Ibanda South,Ibanda Mission
Bushenyi,Ibanda South,Irimya
Bushenyi,Ibanda South,Kicuzi
Bushenyi,Ibanda South,Kigunga
Bushenyi,Ibanda South,Kihani
Bushenyi,Ibanda South,Kikyenkye
Bushenyi,Ibanda South,Mabonwa
Bushenyi,Ibanda South,Mpasha
Bushenyi,Ibanda South,Nsasi
Bushenyi,Ibanda South,Nyamirima
Bushenyi,Ibanda South,Nyarukiika
Bushenyi,Ibanda South,Rubaya
Bushenyi,Ibanda South,Rugaaga
Bushenyi,Ibanda South,Ruhoko
Bushenyi,Ibanda South,Rukiri
Bushenyi,Ibanda South,Rwengwe
Bushenyi,Ibanda South,Rwobuzizi
Bushenyi,Bukanga (Rugaaga),Birunduma
Bushenyi,Bukanga (Rugaaga),Buhungiro
Bushenyi,Bukanga (Rugaaga),Busheka
Bushenyi,Bukanga (Rugaaga),Endiinzi
Bushenyi,Bukanga (Rugaaga),Juru
Bushenyi,Bukanga (Rugaaga),Kibengo
Bushenyi,Bukanga (Rugaaga),Ngarama
Bushenyi,Bukanga (Rugaaga),Nshororo
Bushenyi,Bukanga (Rugaaga),Rubondo
Bushenyi,Bukanga (Rugaaga),Rushasha
Bushenyi,Bukanga (Rugaaga),Rwantaaha
Bushenyi,Bukanga (Rugaaga),Burungamo
Bushenyi,Bukanga (Rugaaga),Kakamba
Bushenyi,Bukanga (Rugaaga),Kashumba
Bushenyi,Bukanga (Rugaaga),Kyabahesi
Bushenyi,Bukanga (Rugaaga),Mbaare
Bushenyi,Bukanga (Rugaaga),Murema
Bushenyi,Bukanga (Rugaaga),Nakivale
Bushenyi,Bukanga (Rugaaga),Nyamarungi
Bushenyi,Bukanga (Rugaaga),Rugaaga
Bushenyi,Isingiro N. (Nyamuyanja),Isibuka Nursing Home
Ibanda,Isingiro N. (Nyamuyanja),Kahenda
Ibanda,Isingiro N. (Nyamuyanja),Kakoma
Ibanda,Isingiro N. (Nyamuyanja),Kamuri
Ibanda,Isingiro N. (Nyamuyanja),Kasana
Ibanda,Isingiro N. (Nyamuyanja),Katanoga
Ibanda,Isingiro N. (Nyamuyanja),Katembe
Ibanda,Isingiro N. (Nyamuyanja),Kikokwa
Ibanda,Isingiro N. (Nyamuyanja),Kyabinunga
Ibanda,Isingiro N. (Nyamuyanja),Kyabirukwa
Ibanda,Isingiro N. (Nyamuyanja),Kyarugaju
Ibanda,Isingiro N. (Nyamuyanja),Kyeirumba
Ibanda,Isingiro N. (Nyamuyanja),Mabona
Ibanda,Isingiro N. (Nyamuyanja),Nyamitsindo
Ibanda,Isingiro N. (Nyamuyanja),Nyamuyanja
Ibanda,Isingiro N. (Nyamuyanja),Nyarubungo
Ibanda,Isingiro N. (Nyamuyanja),Ruhiira
Ibanda,Isingiro N. (Nyamuyanja),Rwekubo
Ibanda,Isingiro N. (Nyamuyanja),Rwetango
Ibanda,Isingiro South (Kabuyanda),Kikagate
Ibanda,Isingiro South (Kabuyanda),Kaarokarungi
Ibanda,Isingiro South (Kabuyanda),Kabugu
Ibanda,Isingiro South (Kabuyanda),Kabuyanda Catholic
Ibanda,Isingiro South (Kabuyanda),Kabuyanda Moh
Ibanda,Isingiro South (Kabuyanda),Kamubeizi
Ibanda,Isingiro South (Kabuyanda),Kanywamaizi
Ibanda,Isingiro South (Kabuyanda),Karama
Ibanda,Bukanga (Rugaaga),Kigaragara
Ibanda,Isingiro South (Kabuyanda),Kihiihi
Ibanda,Isingiro South (Kabuyanda),Kyamusoni
Ibanda,Isingiro South (Kabuyanda),Kyezimbire
Ibanda,Isingiro South (Kabuyanda),Migyera
Ibanda,Isingiro South (Kabuyanda),Nshungyezi
Ibanda,Isingiro South (Kabuyanda),Nyakitunda
Ibanda,Isingiro South (Kabuyanda),Ruborogota
Ibanda,Isingiro South (Kabuyanda),Ruyanga
Ibanda,Isingiro South (Kabuyanda),Rwakakwenda
Ibanda,Isingiro South (Kabuyanda),Rwamijuka
Ibanda,Isingiro South (Kabuyanda),St Luke Kisoyiro
Ibanda,Kibale (Rukunyu),Bigodi
Isingiro,Kibale (Rukunyu),Biguli
Isingiro,Kibale (Rukunyu),Bihanga
Isingiro,Kibale (Rukunyu),Bunoga
Isingiro,Kibale (Rukunyu),Bisiriba
Isingiro,Kibale (Rukunyu),Bwiizi
Isingiro,Kibale (Rukunyu),Kabambiro
Isingiro,Kibale (Rukunyu),Kabingo
Isingiro,Kibale (Rukunyu),Kabuga
Isingiro,Kibale (Rukunyu),Kamwenge
Isingiro,Kibale (Rukunyu),Kimulikidongo
Isingiro,Kibale (Rukunyu),Kiyagara
Isingiro,Kibale (Rukunyu),Kiziba
Isingiro,Kibale (Rukunyu),Kyabenda
Isingiro,Kibale (Rukunyu),Kyakarafa
Isingiro,Kibale (Rukunyu),Malere
Isingiro,Kibale (Rukunyu),Nkongoro
Isingiro,Kibale (Rukunyu),Ntonwa
Isingiro,Kibale (Rukunyu),Padre Pio
Isingiro,Kibale (Rukunyu),Rukunyu
Isingiro,Kitagwenda (Ntara),Rwamwanja
Isingiro,Kitagwenda (Ntara),Buhanda
Isingiro,Kitagwenda (Ntara),Bukurungu
Isingiro,Kitagwenda (Ntara),Ihunga
Isingiro,Kitagwenda (Ntara),Kakasi
Isingiro,Kitagwenda (Ntara),Kakasi Ngo
Isingiro,Kitagwenda (Ntara),Kanara
Isingiro,Kitagwenda (Ntara),Khp Kitagwenda
Isingiro,Kitagwenda (Ntara),Kicheche
Isingiro,Kitagwenda (Ntara),Kicwamba
Isingiro,Kitagwenda (Ntara),Mahyoro
Isingiro,Kitagwenda (Ntara),Ntara
Isingiro,Kitagwenda (Ntara),Nyabbani
Isingiro,Kitagwenda (Ntara),Rwenjaza
Isingiro,Kazo,Bigutsyo
Isingiro,Kazo,Buremba
Isingiro,Kazo,Burunga
Isingiro,Kazo,Ebenezer Community Clinic
Isingiro,Kazo,Engari Community
Isingiro,Kazo,Kabingo
Isingiro,Kazo,Kanoni
Isingiro,Kazo,Kayanga
Isingiro,Kazo,Kazo
Isingiro,Kazo,Kazo Mission
Isingiro,Kazo,Keicumu
Isingiro,Kazo,Kijuma
Isingiro,Kazo,Kyampangara
Isingiro,Kazo,Kyengando
Isingiro,Kazo,Mbaba Community Based Health Centre Pnfp.
Isingiro,Kazo,Mbogo
Isingiro,Kazo,Migina
Isingiro,Kazo,Ngomba
Isingiro,Kazo,Nkungu
Isingiro,Kazo,Nshunga
Isingiro,Kazo,Orwigi
Isingiro,Kazo,Rwamuranga
Isingiro,Kazo,Rwemikoma
Isingiro,Nyabushozi,Family Health Resource Centre
Isingiro,Nyabushozi,Kashongi
Isingiro,Nyabushozi,Kikatsi
Isingiro,Nyabushozi,Kinoni Hc3
Isingiro,Nyabushozi,Kiruhura
Isingiro,Nyabushozi,Kitura
Kamwenge,Nyabushozi,Lake Mburo
Kamwenge,Nyabushozi,Nyakahita
Kamwenge,Nyabushozi,Nyakasharara
Kamwenge,Nyabushozi,Nyakashashara
Kamwenge,Nyabushozi,Rurambira
Kamwenge,Nyabushozi,Rushere Hospital
Kamwenge,Nyabushozi,Rwabarata
Kamwenge,Nyabushozi,Rwenyangwe
Kamwenge,Nyabushozi,Rwetamu
Kamwenge,Nyabushozi,Sanga
Kamwenge,Nyabushozi,St Marys Keizuba
Kamwenge,Kashaari (Bwizibwera),Biharwe
Kamwenge,Kashaari (Bwizibwera),Bubaare
Kamwenge,Kashaari (Bwizibwera),Bukiiro
Kamwenge,Kashaari (Bwizibwera),Bwengure
Kamwenge,Kashaari (Bwizibwera),Bwizibwera
Kamwenge,Kashaari (Bwizibwera),Itara
Kamwenge,Kashaari (Bwizibwera),Kagongi
Kamwenge,Kashaari (Bwizibwera),Kariro
Kamwenge,Kashaari (Bwizibwera),Karwesanga
Kamwenge,Kashaari (Bwizibwera),Kashare
Kamwenge,Kashaari (Bwizibwera),Mabira
Kamwenge,Kashaari (Bwizibwera),Mugarutsya
Kamwenge,Kashaari (Bwizibwera),Nyabisirira
Kamwenge,Kashaari (Bwizibwera),Nyarubungo
Kamwenge,Kashaari (Bwizibwera),Rubaya
Kamwenge,Kashaari (Bwizibwera),Rwemigyina
Kamwenge,Kashaari (Bwizibwera),St. Joseph Rubindi
Kamwenge,Mbarara Municipality,Holy Innocents
Kamwenge,Mbarara Municipality,Kakoba
